sheet,visual_type,wrapper_visual_id,inner_visual_id,title_or_text,note
Overview,TextBoxVisual,633c8e8b-e6a2-4fad-9f1e-68ff2f956792,633c8e8b-e6a2-4fad-9f1e-68ff2f956792,Overview,
Overview,KPIVisual,,c1932d44-b009-402a-bd16-e8bf273c6745,Total Metric,
Overview,BarChartVisual,,57829f6b-d4ae-42f7-b674-3567f269b788,Metric by Category,
Overview,PieChartVisual,,b63a731f-61c1-48b8-aef4-e76e8f33188e,Category Share,
Overview,TableVisual,,7e744c1b-224c-46f7-8efc-745f01818ba0,Table,
Insights,TextBoxVisual,786245ca-54d2-46dd-9a01-13596ad3f4e3,786245ca-54d2-46dd-9a01-13596ad3f4e3,Insights,
Insights,HeatMapVisual,,6606dfc3-522d-4946-9208-16dc54f5341e,Composite Index by category_1 & bucket_1,
Insights,FilledMapVisual,,bb831674-53ca-4994-b0f2-41304977db7f,Composite Index by geo,
